,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,2,6,6,7,7,9,6,11,10,7,7,4,7,6,10,3,6
M02,6,10,11,10,11,10,9,13,13,10,10,6,9,9,11,4,9
M03,3,3,3,4,12,11,2,6,8,4,5,2,4,1,3,1,3
M04,5,5,5,5,8,12,3,7,5,5,4,3,8,3,5,2,5
M05,15,13,13,13,9,13,11,14,11,9,8,5,11,10,14,10,13
M06,13,8,8,9,10,5,5,10,9,8,9,9,15,4,7,6,8
M07,8,9,10,11,14,3,7,8,12,6,6,1,5,7,9,7,11
M08,18,14,14,14,13,14,13,12,16,12,11,7,13,12,15,11,14
M09,10,15,15,15,15,15,12,15,14,13,12,8,14,11,13,13,15
M10,9,16,16,16,16,16,14,16,15,16,16,17,18,13,16,16,16
M11,12,18,18,18,18,18,15,18,17,18,18,18,17,14,17,18,18
M12,16,17,17,17,17,17,16,17,19,17,17,16,16,17,18,17,17
M13,19,19,19,20,20,19,17,19,18,19,19,20,20,18,19,20,20
M14,20,20,20,19,19,20,18,20,20,20,20,19,19,19,20,19,19
W01,7,4,4,3,1,6,2,1,4,3,1,12,3,8,4,9,4
W02,1,1,1,1,2,1,1,2,1,1,2,10,2,5,1,8,1
W03,17,11,9,8,3,7,8,3,2,14,14,15,10,15,8,14,10
W04,4,2,2,2,4,2,1,4,3,2,3,11,1,2,2,5,2
W05,14,12,12,12,6,4,10,9,7,15,15,13,6,20,12,15,12
W06,11,7,7,6,5,8,4,5,6,11,13,14,12,16,6,12,7
