,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,1,6,1,1,1
W02,2,3,3,2,2,2,2
W03,3,2,2,1,3,3,3
W04,5,4,4,3,4,4,4
W05,4,5,5,4,5,6,6
W06,6,6,6,5,6,5,5
M01,8,0,0,0,0,0,0
M02,0,7,7,7,7,7,7
M03,9,8,8,8,8,8,8
M04,7,9,9,9,9,9,9
M05,11,11,11,11,10,10,10
M06,10,10,10,10,11,11,11
M07,12,12,12,12,12,12,12
M08,13,13,13,13,13,13,13
M09,14,14,14,14,14,14,14
M10,16,15,15,15,15,15,15
M11,15,17,17,17,17,17,16
M12,17,16,16,16,16,16,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
