,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,1,1,5,1,1,1
W02,8,2,2,1,2,2,3
W03,5,5,4,3,4,4,2
W04,1,3,3,2,3,3,4
W05,3,4,5,4,5,5,5
W06,7,6,6,6,6,6,6
M01,4,0,0,0,0,0,0
M02,6,7,7,7,7,7,7
M03,9,8,8,8,8,8,8
M04,0,9,9,9,9,9,9
M05,10,10,10,10,10,10,10
M06,11,11,11,11,11,11,11
M07,12,12,12,12,12,12,12
M08,13,13,13,13,13,13,13
M09,15,14,14,14,14,14,14
M10,14,16,16,16,16,16,15
M11,16,15,15,15,15,15,16
M12,17,17,17,17,17,17,17
M13,18,19,19,19,18,18,18
M14,19,18,18,18,19,19,19
