,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11404752553575603,0.21428571428571427,0.23201754385964912,0.5864035087719298,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.19151327777041108,0.8571428571428571,0.1469298245614035,0.4635964912280702,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.19151327777041108,0.8571428571428571,0.14780701754385964,0.4776315789473684,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18520829109283854,0.8095238095238095,0.14868421052631578,0.49605263157894736,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21744527794741764,0.7857142857142857,0.16885964912280704,0.5635964912280702,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.24172030656017343,0.9285714285714286,0.16271929824561407,0.5337719298245615,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-26.19047619047619,40.47619047619049,-0.1890876745723471,0.8333333333333334,0.14517543859649124,0.4732456140350877,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22489083077537828,0.8571428571428571,0.1600877192982456,0.518859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.14653022418663772,0.5476190476190477,0.16885964912280702,0.5390350877192982,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18520829109283854,0.8095238095238095,0.15043859649122807,0.48903508771929827,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.24172030656017343,0.9285714285714286,0.16271929824561404,0.5302631578947369,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.07609880578073053,0.14285714285714285,0.2197368421052632,0.5451754385964912,"[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.013825636015552978,0.23809523809523808,0.2057017543859649,0.5706140350877194,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18763389429090252,0.8333333333333334,0.1442982456140351,0.4837719298245614,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06696060086959055,0.19047619047619047,0.20482456140350877,0.5706140350877194,"[False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18763389429090252,0.8333333333333334,0.1469298245614035,0.46885964912280703,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
