,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17312524273637134,0.47619047619047616
ranker 2,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.10776918985159822,0.16666666666666666
ranker 3,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17312524273637134,0.47619047619047616
ranker 4,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 5,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 6,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 7,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 8,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.1770278840405068,0.7142857142857143
ranker 9,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 10,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10087801231561483,0.11904761904761904
ranker 11,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17312524273637134,0.47619047619047616
ranker 12,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.14618543493507175,0.4523809523809524
