,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,13,13,11,11,14,14,7
W02,2,1,1,1,0,1,1
W03,5,4,9,9,3,5,3
W04,14,14,13,13,12,13,4
W05,12,11,12,12,11,11,16
W06,19,19,19,19,19,19,17
M01,10,9,8,8,8,10,8
M02,16,16,16,16,15,17,9
M03,0,0,3,3,4,2,2
M04,9,8,10,10,9,9,10
M05,15,15,18,18,17,16,19
M06,11,10,7,7,6,7,11
M07,3,3,2,2,2,3,5
M08,18,18,15,15,13,15,18
M09,6,5,6,6,5,6,6
M10,8,7,5,5,10,8,12
M11,7,6,4,4,7,4,13
M12,17,17,14,14,16,12,14
M13,4,12,17,17,18,18,15
M14,1,2,0,0,1,0,0
