,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,11,11,14,14,12,13,11
W02,9,5,6,6,9,7,5
W03,0,1,0,0,0,0,0
W04,12,12,11,11,11,12,12
W05,1,0,4,4,1,3,2
W06,5,6,2,2,3,2,3
M01,16,17,15,15,17,18,18
M02,2,2,1,1,2,1,1
M03,6,8,10,10,8,9,13
M04,10,7,7,7,10,10,6
M05,7,9,8,8,5,6,7
M06,18,18,18,18,18,17,14
M07,17,14,17,17,14,15,15
M08,8,10,9,9,6,8,8
M09,14,13,12,12,13,11,9
M10,3,3,3,3,4,4,4
M11,15,16,16,16,15,16,16
M12,19,19,19,19,19,19,19
M13,4,4,5,5,7,5,10
M14,13,15,13,13,16,14,17
