,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,10,17,19,19,19,7,19,16,19,19,19,16,18,19,18,19
M02,5,2,2,2,3,3,2,3,1,3,4,5,1,3,1,2
M03,6,9,9,9,13,14,8,13,6,6,5,6,11,9,7,10
M04,3,11,11,11,4,8,11,4,11,12,11,14,8,11,8,11
M05,9,8,10,10,14,15,10,11,15,5,6,8,9,10,5,8
M06,16,18,17,16,15,9,17,19,13,17,16,2,17,17,15,18
M07,20,16,15,15,16,16,15,15,20,16,17,15,15,16,14,15
M08,15,10,7,5,5,17,9,5,2,11,12,10,5,8,6,9
M09,12,12,13,13,17,10,13,12,17,13,13,11,13,13,12,12
M10,13,5,5,7,6,1,6,6,4,4,7,19,2,4,2,5
M11,19,19,18,18,7,18,18,7,8,18,18,12,16,18,16,17
M12,17,20,20,20,20,19,20,20,14,20,20,13,19,20,20,20
M13,2,6,6,6,8,4,5,8,5,2,1,7,4,5,3,6
M14,8,15,16,17,18,20,16,17,16,14,14,9,14,15,17,16
W01,11,14,14,14,12,5,14,18,12,15,15,1,20,14,19,14
W02,18,7,8,8,9,2,7,10,7,10,8,20,7,7,11,7
W03,7,1,1,1,1,6,1,1,3,1,2,3,3,1,4,1
W04,14,13,12,12,10,11,12,14,18,9,3,4,12,12,13,13
W05,4,3,4,4,11,12,3,9,9,7,9,18,6,2,10,3
W06,1,4,3,3,2,13,4,2,10,8,10,17,10,6,9,4
