,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,3,4,6,6,9,5,17
W02,14,5,4,4,4,4,4
W03,0,1,0,0,0,1,0
W04,5,3,3,2,1,2,1
W05,15,14,17,17,17,18,9
W06,2,2,2,3,5,3,5
M01,6,0,5,5,2,6,2
M02,17,17,13,13,6,11,6
M03,11,13,12,12,13,13,10
M04,7,7,8,8,8,8,11
M05,19,19,19,19,19,16,12
M06,16,15,16,16,16,17,18
M07,13,12,14,14,11,14,13
M08,10,11,11,11,12,12,14
M09,8,10,10,10,7,10,7
M10,9,8,7,7,14,7,19
M11,4,18,18,18,18,19,15
M12,12,9,9,9,10,9,8
M13,1,6,1,1,3,0,3
M14,18,16,15,15,15,15,16
