,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,19,15,16,16,16,17,16
W02,12,4,9,9,2,3,2
W03,7,7,3,3,11,8,8
W04,11,11,13,13,14,14,9
W05,3,12,10,10,8,10,3
W06,6,6,6,6,3,7,4
M01,2,3,2,2,4,2,5
M02,4,2,5,4,6,5,10
M03,16,19,19,19,17,18,17
M04,15,14,14,14,9,12,11
M05,17,17,18,18,15,16,12
M06,1,1,1,1,1,1,1
M07,18,18,17,17,18,19,18
M08,14,16,15,15,12,13,13
M09,0,0,0,0,0,0,0
M10,9,9,8,8,5,6,6
M11,8,8,7,7,7,9,14
M12,5,5,4,5,10,4,15
M13,10,10,12,12,13,11,7
M14,13,13,11,11,19,15,19
