,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0694778975730713,0.023809523809523808
ranker 2,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.10949864255830732,0.16666666666666666
ranker 3,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.09010431186575618,0.21428571428571427
ranker 4,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.06335334754258853,0.38095238095238093
ranker 5,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.09131187222530815,0.23809523809523808
ranker 6,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06307520543940798,0.2619047619047619
ranker 7,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.11004803123386678,0.40476190476190477
ranker 8,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.1746464147201999,0.38095238095238093
ranker 9,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10173751639974732,0.16666666666666666
ranker 10,-42.857142857142854,-26.19047619047619,-26.19047619047619,0.034162432244994045,0.09523809523809523
ranker 11,-42.857142857142854,-26.19047619047619,-9.523809523809526,-0.0014428771948249985,0.07142857142857142
ranker 12,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.01965620122889966,0.0
