,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.10515370339931829,0.30952380952380953
ranker 2,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.09657633708016772,0.0
ranker 3,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.11013026364144052,0.4523809523809524
ranker 4,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.07049618024908125,0.21428571428571427
ranker 5,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.040747329498309226,0.047619047619047616
ranker 6,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.0809961135723963,0.23809523809523808
ranker 7,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.11590260274086323,0.5714285714285714
ranker 8,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1130914690238804,0.16666666666666666
ranker 9,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.07670718271086305,0.23809523809523808
ranker 10,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.0446850847556125,0.14285714285714285
ranker 11,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06329537511058322,0.11904761904761904
ranker 12,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.1115076008636352,0.5
