,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11139280499002718,0.14285714285714285,0.450438596491228,0.506578947368421,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.1015632199233846,0.6190476190476191,0.40482456140350886,0.5232456140350877,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.10256787482481391,0.6428571428571429,0.4048245614035088,0.5118421052631579,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.10256787482481391,0.6428571428571429,0.40394736842105267,0.5092105263157894,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.13147602816174853,0.11904761904761904,0.4451754385964912,0.4837719298245614,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.131533618686281,0.5476190476190477,0.5100877192982455,0.5057017543859649,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08791690540154781,0.5714285714285714,0.40131578947368424,0.4951754385964912,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,-9.523809523809526,-0.134655608007122,0.07142857142857142,0.44254385964912285,0.518859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.017640834581550358,0.023809523809523808,0.44692982456140357,0.518859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08982514294357385,0.6190476190476191,0.4039473684210526,0.4820175438596491,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.039103302692002684,0.3333333333333333,0.4197368421052632,0.500438596491228,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1314934966380516,0.0,0.5021929824561403,0.5109649122807017,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.07686409653518572,0.11904761904761904,0.41798245614035084,0.4899122807017544,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08791690540154781,0.5714285714285714,0.40131578947368424,0.48903508771929827,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.079731696892407,0.14285714285714285,0.41359649122807013,0.44605263157894737,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.10256787482481391,0.6428571428571429,0.40570175438596495,0.506578947368421,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
