,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11404752553575603,0.21428571428571427,0.2083333333333333,0.631140350877193,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22957030759255884,0.8571428571428571,0.1013157894736842,0.4934210526315789,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22957030759255884,0.8571428571428571,0.1013157894736842,0.4934210526315789,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22957030759255884,0.8571428571428571,0.1013157894736842,0.4934210526315789,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10833333333333334,0.49780701754385964,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.24172030656017343,0.9285714285714286,0.1118421052631579,0.5364035087719298,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22187903671890355,0.8333333333333334,0.09956140350877192,0.5074561403508772,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.24172030656017343,0.9285714285714286,0.1074561403508772,0.5320175438596492,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-9.523809523809526,40.47619047619049,-0.2364614851285422,0.9047619047619048,0.11447368421052634,0.4583333333333333,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22957030759255884,0.8571428571428571,0.1013157894736842,0.4934210526315789,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.10833333333333334,0.4925438596491228,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.07737457683600865,0.11904761904761904,0.23201754385964912,0.6021929824561404,"[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-42.857142857142854,-42.857142857142854,7.142857142857146,0.04854699445982824,0.11904761904761904,0.21798245614035086,0.6802631578947368,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22187903671890355,0.8333333333333334,0.09956140350877192,0.5074561403508772,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.04333099027787235,0.42857142857142855,0.1513157894736842,0.5469298245614035,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.22957030759255884,0.8571428571428571,0.10219298245614038,0.49780701754385964,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
