,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,6,5,4,4,6,7,3,10,2,3,7,1,3,2,4,5
M02,2,2,2,2,9,8,2,4,4,5,8,2,2,3,1,2
M03,3,3,3,3,7,9,4,5,6,6,9,4,4,4,2,3
M04,5,6,6,6,8,10,5,6,9,7,10,3,5,5,3,6
M05,10,12,12,12,12,11,11,11,13,11,11,7,6,12,13,13
M06,9,11,11,11,10,12,11,12,12,12,12,5,7,11,12,11
M07,8,13,13,13,13,13,12,13,11,13,13,6,8,13,11,12
M08,12,15,15,15,15,14,13,14,15,15,15,15,9,14,15,15
M09,13,14,14,14,14,15,14,15,14,14,14,14,10,15,14,14
M10,16,16,16,16,17,16,15,16,17,16,16,17,11,16,17,17
M11,15,17,17,17,16,17,16,17,16,17,17,16,13,17,16,16
M12,18,18,18,18,19,18,17,18,18,18,18,19,17,18,19,19
M13,19,19,19,19,18,19,18,19,19,19,19,18,19,19,18,18
M14,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
W01,1,1,1,1,1,1,1,1,1,1,1,8,1,1,5,1
W02,7,4,5,5,2,2,7,2,8,2,2,9,12,6,7,4
W03,4,7,7,7,3,3,6,3,5,4,3,12,14,7,6,7
W04,11,9,9,10,11,4,8,7,10,9,4,11,15,8,10,9
W05,14,10,10,9,4,5,9,8,7,10,5,13,16,9,9,10
W06,17,8,8,8,5,6,10,9,3,8,6,10,18,10,8,8
