,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
bestRankAggregated,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11404752553575603,0.21428571428571427,0.23464912280701755,0.4118421052631579,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
borda_aggregation,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.11706350687848865,0.35714285714285715,0.20043859649122808,0.6021929824561404,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_enhanced_borda,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.12165999295402902,0.42857142857142855,0.20043859649122808,0.5802631578947368,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
exponential_weighting,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.12020621267258436,0.42857142857142855,0.19780701754385965,0.5135964912280702,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
highest_rank,-26.19047619047619,-9.523809523809526,57.142857142857146,-0.2510370872942207,1.0,0.2574561403508771,0.4881578947368421,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
lowest_rank,-42.857142857142854,-42.857142857142854,7.142857142857146,0.027196540043877726,0.47619047619047616,0.2600877192982456,0.4144736842105263,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
mc4_aggregator,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.11139525092935254,0.35714285714285715,0.19605263157894737,0.5293859649122807,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
robust_aggregation,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19013014162121014,0.5,0.21622807017543857,0.5504385964912281,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
round_robin,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21373845834014246,0.7380952380952381,0.23903508771929824,0.5074561403508772,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_enhanced_borda,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.04025132598412662,0.19047619047619047,0.22938596491228072,0.5925438596491228,"[False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
stability_selection,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.06594415017065325,0.11904761904761904,0.24605263157894733,0.6048245614035088,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC1Fair,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.09223985765757062,0.11904761904761904,0.25131578947368416,0.6030701754385965,"[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]"
MC2Fair,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.07451659160968133,0.30952380952380953,0.2644736842105263,0.5478070175438596,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC2,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1166540723609838,0.38095238095238093,0.1995614035087719,0.5030701754385964,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3Fair,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.06610786664246343,0.09523809523809523,0.2206140350877193,0.5118421052631579,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
MC3,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.12053345584049241,0.40476190476190477,0.20394736842105263,0.5390350877192982,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
