,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,5,5,5,5,5,5,4
W02,6,6,6,6,6,6,5
W03,7,7,7,7,7,7,11
W04,8,8,8,8,9,10,9
W05,10,10,9,9,8,9,6
W06,11,11,11,11,10,8,2
M01,1,1,1,1,0,0,0
M02,0,0,0,0,1,1,1
M03,2,2,2,2,2,2,3
M04,3,3,3,3,3,3,7
M05,4,4,4,4,4,4,8
M06,9,9,10,10,11,11,10
M07,12,12,12,12,12,12,12
M08,13,13,13,13,13,13,13
M09,14,14,14,14,14,14,14
M10,15,15,15,15,15,15,15
M11,16,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
