,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,2,1,1,2,3,4,1,3,1,4,6,2,2,1,1,1
M02,1,2,2,1,4,10,1,4,2,5,7,5,1,2,2,2
M03,3,3,3,3,6,2,2,6,4,1,2,1,3,3,3,3
M04,5,4,4,4,7,3,3,8,7,2,3,3,4,4,4,4
M05,6,5,5,5,5,11,4,5,5,6,5,4,5,5,5,5
M06,9,12,12,12,8,12,10,12,13,8,8,6,12,11,10,12
M07,10,13,13,13,9,13,12,13,11,11,11,7,13,13,13,13
M08,12,14,14,14,16,15,13,15,14,14,14,14,14,14,14,14
M09,13,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
M10,20,16,16,16,17,16,15,16,16,17,17,17,16,16,17,17
M11,16,17,17,17,15,17,16,17,17,16,16,16,17,17,16,16
M12,15,18,18,18,18,18,17,18,18,18,18,19,18,18,18,18
M13,18,19,19,19,19,19,18,19,19,19,19,18,19,19,19,19
M14,19,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
W01,4,6,6,6,10,1,5,7,12,3,1,8,6,6,6,6
W02,7,7,7,7,11,5,6,9,6,7,4,9,7,7,8,7
W03,8,8,9,10,12,6,7,10,8,9,9,13,8,8,12,9
W04,11,11,11,11,13,7,8,11,10,10,10,10,9,9,11,11
W05,14,10,10,9,1,8,9,1,9,12,12,11,10,10,9,10
W06,17,9,8,8,2,9,11,2,3,13,13,12,11,12,7,8
